n,mean,median,std,p25,p75,p10,p90,p_positive,min,max,view,subset,horizon
207,-0.0060721274069743016,-0.0014029180695847,0.054590358217029226,-0.00858515740896915,0.0044212526307174,-0.0285714285714286,0.01580826546219648,0.4106280193236715,-0.4279252311581188,0.1841463414634148,raw,A_both_pass,fwd_30m
192,-0.008075249373314858,-0.00333619429080035,0.056182672505850316,-0.0134285806413473,0.00438216718633165,-0.03125923010614981,0.018360914763260756,0.4010416666666667,-0.4168385108317258,0.1864878048780489,raw,A_both_pass,fwd_60m
137,-0.01650969123494028,-0.007396449704142,0.06517836608729008,-0.0256622516556291,0.0026438885499287,-0.043210643015521,0.01849351117519827,0.31386861313868614,-0.4334685913213153,0.1656963725929244,raw,A_both_pass,fwd_240m
231,-0.010973970225985228,-0.0065088757396449,0.06773657380257006,-0.022720873946702802,0.0118270283793471,-0.0456521739130434,0.0366666666666666,0.38961038961038963,-0.5365750903567706,0.1540528437080162,raw,A_both_pass,fwd_next_session_open
203,-0.006153346280056955,-0.0016424856282508,0.05508754000961168,-0.00858515740896915,0.00436773614769695,-0.0285714285714286,0.015845215005220962,0.4088669950738916,-0.4279252311581188,0.1841463414634148,dedup,A_both_pass,fwd_30m
188,-0.008058567338567461,-0.00333619429080035,0.05672040685806201,-0.0134285806413473,0.00438216718633165,-0.03075658547397967,0.01843909861264995,0.39893617021276595,-0.4168385108317258,0.1864878048780489,dedup,A_both_pass,fwd_60m
134,-0.01662624010349255,-0.007396449704142,0.06586935679458505,-0.025324717489155074,0.00250514858194815,-0.043423503325942296,0.019041276135544287,0.31343283582089554,-0.4334685913213153,0.1656963725929244,dedup,A_both_pass,fwd_240m
227,-0.01108601174863859,-0.0062022212606374,0.06831456114624139,-0.02352847236112945,0.0118270283793471,-0.04570709382151024,0.03672392638036804,0.3920704845814978,-0.5365750903567706,0.1540528437080162,dedup,A_both_pass,fwd_next_session_open
