n,mean,median,std,p25,p75,p10,p90,p_positive,min,max,view,score_band,horizon
676,0.0031622243321482186,8.813307500843214e-05,0.0707637915960509,-0.011139464523126376,0.014070416118953275,-0.0331106263549248,0.0446527072045389,0.5044378698224852,-0.4279252311581188,0.88005,raw,10-25,fwd_30m
634,0.009443138678657342,9.657084614878071e-05,0.19863633423948648,-0.0136184210526315,0.015687575792026575,-0.03974210669569949,0.04811814236557211,0.501577287066246,-0.4168385108317258,3.535,raw,10-25,fwd_60m
460,0.018508040035331946,0.00972798646541005,0.19097353604500406,-0.007908565423016274,0.034039947454477575,-0.03663621646623488,0.06571191896614138,0.6282608695652174,-0.4334685913213153,2.84495,raw,10-25,fwd_240m
773,0.006175898542934648,0.0022347136668624,0.079243371273988,-0.0114606193611314,0.0294339622641508,-0.0471115808545975,0.06647363409863855,0.5717981888745148,-0.5444839857651246,0.531544502617801,raw,10-25,fwd_next_session_open
2436,0.0011816715187716236,0.0,0.05039780545585661,-0.008945967901395024,0.008236219911433175,-0.02649863766313365,0.0251485222023678,0.4905582922824302,-0.3464566929133857,1.48,raw,25-40,fwd_30m
2237,0.002522796789098477,9.638098837756348e-05,0.05664146642414088,-0.0095444685466378,0.0106522145393384,-0.028446621136940176,0.029404804871806644,0.5051408135896289,-0.4358974358974358,1.3644444444444446,raw,25-40,fwd_60m
1597,0.009895748168281645,0.0062893081761006,0.06225379867045167,-0.0074433656957927,0.021344377190188,-0.025911248839120455,0.04599230741985111,0.6355666875391359,-0.3952262003885651,1.392,raw,25-40,fwd_240m
2841,0.0040524349613691776,0.001510989010989,0.06284139561085221,-0.0113312302839116,0.0168067226890756,-0.0340909090909092,0.0412147505422992,0.5586061246040127,-0.4615384615384615,1.995555555555556,raw,25-40,fwd_next_session_open
6090,-0.0013334945422448998,-0.0014038687508074001,0.03559647458849444,-0.0105050670738249,0.005849882021315325,-0.025763577382446213,0.019114978505913344,0.4266009852216749,-0.2715596330275229,1.013318073041307,raw,40-55,fwd_30m
5451,-0.0011141534606712272,-0.0017462165308498,0.041499855960379785,-0.0119581656883408,0.0067366002627629006,-0.0285714285714285,0.0212160855468971,0.42285819115758577,-0.3075812274368231,1.013318073041307,raw,40-55,fwd_60m
4029,0.0052713312302211796,0.0008317161075686,0.08404019094299346,-0.0111637347767252,0.0121967213114754,-0.028048424406414918,0.03405002938583597,0.5182427401340283,-0.3481899109792284,3.40652540783799,raw,40-55,fwd_240m
7109,0.0046200095452445045,0.0,0.2404795311894426,-0.0139013901390139,0.009838315202355,-0.033537278628600176,0.031093423384802598,0.4888169925446617,-0.3793859649122807,14.341043190936984,raw,40-55,fwd_next_session_open
5736,-0.0019989375390884623,-0.00114815186938875,0.028578743718638378,-0.0067325979999347,0.004271230975642275,-0.0194478732299973,0.0147408623569917,0.41143654114365413,-0.4935304990757856,0.4954473475851148,raw,55-70,fwd_30m
5140,-0.0021558158722498016,-0.0013503462987457002,0.033171894731762956,-0.008073083736468175,0.005176773044032675,-0.023631663528697573,0.016849928471847155,0.42782101167315173,-0.511090573012939,0.5124999999999998,raw,55-70,fwd_60m
3594,-0.000170131522574289,-0.0007081850533807,0.09372265488271615,-0.011193801035407075,0.0081527125019079,-0.02868612328423325,0.02418206237686546,0.4691151919866444,-0.8975757575757576,3.5118019573978123,raw,55-70,fwd_240m
6775,0.0003732268542492694,-0.001002004008016,0.15413976138640537,-0.01049980502117945,0.0067562582840444,-0.02973127336697129,0.022195567751139202,0.4534317343173432,-0.8125454545454546,11.264150943396226,raw,55-70,fwd_next_session_open
2291,-0.0017648119011470312,-0.0009857706154636,0.028201671552320576,-0.0044861345145113,0.00209237221397125,-0.0159395973154362,0.0110892065056678,0.37363596682671324,-0.535681186283596,0.4033427940712708,raw,70-85,fwd_30m
2013,-0.0015171569058320808,-0.0010902747492367,0.04870062668965849,-0.0056224899598392,0.003152916447714,-0.018056416208305837,0.014250945526368478,0.3849975161450571,-0.5438121047877146,0.726349545697488,raw,70-85,fwd_60m
1335,-0.0027909178863309222,-0.0018240778273207,0.05798284313217875,-0.00906964923570505,0.00505861196107615,-0.02880343020627188,0.017066157916069167,0.3887640449438202,-0.5058717253839206,0.4506464837590665,raw,70-85,fwd_240m
2757,-0.0024358921766087496,-0.0025430359937401,0.04807773120532973,-0.0087778528021607,0.0034058160859312,-0.02350733360453506,0.016419152529239353,0.347841857091041,-0.5483288166214996,0.5223880597014925,raw,70-85,fwd_next_session_open
99,0.011391150076826893,0.0,0.06889066280834538,-0.0091489361702127,0.0144222912015741,-0.0338368580060424,0.052996352266805505,0.46464646464646464,-0.1040784917275876,0.5198973042362003,raw,85+,fwd_30m
94,0.00563211908152626,0.00082977384247805,0.04490889280426101,-0.011652396749164226,0.0133557127386202,-0.03731418648885485,0.040853266475777174,0.5531914893617021,-0.1244709503655252,0.2421259842519684,raw,85+,fwd_60m
54,0.012207594345808748,-4.360284586897456e-05,0.062041228773653936,-0.013681628204946299,0.020542264752790976,-0.0240963855421685,0.04174239995725795,0.5,-0.0898876404494381,0.2552235891427456,raw,85+,fwd_240m
113,0.012287203487760447,0.0001277465508431,0.06360633319327157,-0.0157871972318338,0.0179189322787939,-0.04067737151786708,0.0870398773006136,0.5132743362831859,-0.1244709503655252,0.3512269938650307,raw,85+,fwd_next_session_open
248,0.0056025190419023525,-0.00011918219480875001,0.04696204633228846,-0.00767942419659315,0.009336431221218425,-0.036634624950258626,0.03873931496643282,0.43548387096774194,-0.1222471910112359,0.3647329121194715,raw,<=10,fwd_30m
228,-0.0019584999830001763,-0.0001594157898418,0.03570418557054506,-0.012514597729136951,0.00592241629087015,-0.03583863996931443,0.03259814638498781,0.4473684210526316,-0.1570886075949366,0.1485714285714284,raw,<=10,fwd_60m
183,0.0050466688834099865,-3.798526171843574e-05,0.06325037361502922,-0.015021126789496849,0.0195140762210871,-0.04511569990453188,0.0721231766612642,0.47540983606557374,-0.1731460674157303,0.2308336824465856,raw,<=10,fwd_240m
264,0.007568114020791206,0.0001872292479902,0.07401855090564279,-0.015960799983042423,0.01947779994091135,-0.053009026564847,0.07864431148444025,0.5151515151515151,-0.2558572176036277,0.6699999999999999,raw,<=10,fwd_next_session_open
655,0.0029417682111352477,0.0001321353065537,0.06978423982733249,-0.0111235955056179,0.013972935717036051,-0.033111352448955,0.0427860362814717,0.5068702290076336,-0.4279252311581188,0.88005,dedup,10-25,fwd_30m
613,0.009940259362535817,8.580303056296144e-05,0.20147913797299535,-0.0132669983416251,0.0157315825375169,-0.03961940982899058,0.04609117935204901,0.5008156606851549,-0.4168385108317258,3.535,dedup,10-25,fwd_60m
446,0.019003164098016938,0.01011683326195175,0.19307411079442424,-0.00776412954723975,0.0339100346020761,-0.036004075640671054,0.0650654579226474,0.6300448430493274,-0.4334685913213153,2.84495,dedup,10-25,fwd_240m
750,0.0059343580325654805,0.00216182117243445,0.07933791752547781,-0.0114606193611314,0.028895226024503475,-0.046461573305148544,0.06645202854935833,0.5733333333333334,-0.5444839857651246,0.531544502617801,dedup,10-25,fwd_next_session_open
2385,0.0012151340716962382,0.0,0.05081343036016049,-0.0088888888888888,0.0080982965652052,-0.026531038463087117,0.025126623450177455,0.4909853249475891,-0.3464566929133857,1.48,dedup,25-40,fwd_30m
2188,0.0026441126465034607,0.00013406176629285,0.05716373284629026,-0.009395035812224176,0.010578894436687976,-0.0280363002399417,0.029581788302912325,0.506398537477148,-0.4358974358974358,1.3644444444444446,dedup,25-40,fwd_60m
1562,0.009827272346315367,0.0062675376759802,0.06268688820943838,-0.00745319056187915,0.021263227316748498,-0.026002555350955657,0.04583821528116386,0.6357234314980794,-0.3952262003885651,1.392,dedup,25-40,fwd_240m
2785,0.004117650989771706,0.0015151515151515,0.06325514285809525,-0.0111755856436707,0.0168430144677175,-0.034050051072523034,0.041337554222993095,0.5601436265709157,-0.4615384615384615,1.995555555555556,dedup,25-40,fwd_next_session_open
5960,-0.0012423558767300246,-0.0013617210483251,0.03550056129421941,-0.010342770142375075,0.00580326112794455,-0.0253731343283581,0.019028563011035473,0.42818791946308726,-0.2715596330275229,1.013318073041307,dedup,40-55,fwd_30m
5334,-0.0010271869161335475,-0.00171036685097835,0.04155032202541205,-0.0117127009879571,0.0067839778391653,-0.028271564929580523,0.021108992929576575,0.42444694413198353,-0.3075812274368231,1.013318073041307,dedup,40-55,fwd_60m
3945,0.005301750523533025,0.0008049535603714,0.08465028335269983,-0.0111637347767252,0.0120871764355846,-0.028105885910710955,0.03366700315868318,0.517617237008872,-0.3481899109792284,3.40652540783799,dedup,40-55,fwd_240m
6976,0.004760645207044019,0.0,0.24262112196173516,-0.01382925701521035,0.009775436244572526,-0.0332323407202215,0.03070473595711585,0.4892488532110092,-0.3793859649122807,14.341043190936984,dedup,40-55,fwd_next_session_open
5652,-0.002021774631755808,-0.00113869498393375,0.02847816518359632,-0.0066647585332244505,0.004222758020226276,-0.01908292946731288,0.014358161595243685,0.4113588110403397,-0.4935304990757856,0.4954473475851148,dedup,55-70,fwd_30m
5068,-0.0021710208071044007,-0.00132802359049595,0.033055498298258025,-0.0080114058014018,0.00512870079852495,-0.023227496845442987,0.016528909238667164,0.42797947908445144,-0.511090573012939,0.5124999999999998,dedup,55-70,fwd_60m
3545,-0.00015094698784311918,-0.0007142857142856,0.09425904010238763,-0.0111652456354039,0.0081125827814569,-0.028504810183379838,0.023748339763455813,0.4685472496473907,-0.8975757575757576,3.5118019573978123,dedup,55-70,fwd_240m
6684,0.00041557011031867556,-0.001002004008016,0.15512646524782275,-0.010470333335541825,0.00672224462210775,-0.02941176470588237,0.02192194279742835,0.4534709754637941,-0.8125454545454546,11.264150943396226,dedup,55-70,fwd_next_session_open
