n,mean,median,std,p25,p75,p10,p90,p_positive,min,max,view,metric,bin,horizon
3262,-0.0016115579909129062,-0.0019566736930076,0.03655052723985534,-0.0095444685466378,0.00462082259864265,-0.023122307411464,0.01487931446746047,0.4028203556100552,-0.2926509186351707,1.3644444444444446,raw,sma_spread_distance,fail_1_5,fwd_60m
1123,-0.002844702251482866,-0.0021724216784815,0.01431697013683466,-0.008074718987666301,0.0035984848484849,-0.01639148806246924,0.01057388445925714,0.38557435440783616,-0.1576576576576576,0.0720491629582539,raw,sma_spread_distance,fail_5p,fwd_60m
4264,0.0024721274440655354,0.00073877068557915,0.046423076223071916,-0.0082985785225637,0.012234286853951776,-0.0287947769092015,0.03331669439822506,0.5351782363977486,-0.5438121047877146,0.5624652777777779,raw,sma_spread_distance,passing_side,fwd_60m
492,-0.005213365300235974,-0.0031480447385047,0.04040720132733382,-0.014677485932049,0.006250641052170775,-0.03183966253647386,0.0196797865243495,0.40447154471544716,-0.3097087378640777,0.5174129353233832,raw,rsi_distance,fail_0_2,fwd_240m
1782,0.0018419430636717827,0.00260309849213315,0.04262965995812009,-0.010427609834128874,0.014599713817096426,-0.032842804036112616,0.039534495818688446,0.5628507295173962,-0.5058717253839206,0.2730200489884787,raw,rsi_distance,fail_10_20,fwd_240m
2577,0.0165716998194514,0.008765243902439,0.1116179289375653,-0.0059024541783162,0.027079992873686,-0.03243171735097194,0.060889183171217595,0.6596818005432674,-0.4252669039145907,2.84495,raw,rsi_distance,fail_20p,fwd_240m
705,-0.0026668045514211354,-0.0006565988181221,0.041484107113526306,-0.0114248408682879,0.0086551264980026,-0.02644481390182206,0.024089137677636322,0.475177304964539,-0.3481899109792284,0.2708144236323129,raw,rsi_distance,fail_2_5,fwd_240m
1016,0.0011267598321588073,-0.00029746960854545,0.06632081263021082,-0.0115360590679558,0.008175437103257424,-0.02463550018502525,0.021757733989520252,0.47834645669291337,-0.4976830398517145,1.392,raw,rsi_distance,fail_5_10,fwd_240m
4680,2.425131844419031e-05,-0.0017796631504745498,0.09943224083989192,-0.011433109553956051,0.006614435644209825,-0.027338452324709397,0.01975837811999367,0.4247863247863248,-0.8975757575757576,3.5118019573978123,raw,rsi_distance,passing_side,fwd_240m
2705,-0.00045466988880793415,-0.0004342162396874,0.05233399808262813,-0.0090614886731391,0.0095302927161334,-0.025044247787610576,0.025866251514727854,0.477634011090573,-0.8975757575757576,0.5871999999999998,raw,sma_spread_distance,fail_0.25_1,fwd_240m
1855,0.006273717532665468,-0.0010869565217391,0.17654739955572987,-0.016726876723822053,0.0098333075495049,-0.0457516339869281,0.034280305756376264,0.44258760107816714,-0.3952262003885651,3.5118019573978123,raw,sma_spread_distance,fail_0_0.25,fwd_240m
2633,0.004214728194215077,0.0003018716039444,0.04526290754022447,-0.0088928412627833,0.011090991398823,-0.02246062818208536,0.02900753863495966,0.5081655905810862,-0.1994750656167979,1.392,raw,sma_spread_distance,fail_1_5,fwd_240m
1029,0.0011200205845427107,0.0007674597083652,0.01801784061014501,-0.0084479500812936,0.0095305738165242,-0.01763802023819416,0.021972729710990225,0.5267249757045676,-0.1428378378378379,0.0805806858826004,raw,sma_spread_distance,fail_5p,fwd_240m
3030,0.0066478810913471326,0.0029239649384018,0.07628384330505489,-0.011229221581776975,0.01877236793464195,-0.0365338164251207,0.046657223590783906,0.566996699669967,-0.5058717253839206,1.564102564102564,raw,sma_spread_distance,passing_side,fwd_240m
892,-0.0036088342694983303,-0.0016793482678204,0.049711635917867494,-0.013608931533426825,0.006851856349476125,-0.036206896551724,0.021728793235336746,0.4383408071748879,-0.5080906148867314,0.4769230769230768,raw,rsi_distance,fail_0_2,fwd_next_session_open
3611,0.001126210011739535,0.0012240900930307,0.04375390284898917,-0.0109838490181866,0.011084260718917851,-0.032258064516129,0.0326771653543307,0.553309332594849,-0.5483288166214996,0.4886768447837148,raw,rsi_distance,fail_10_20,fwd_next_session_open
4469,0.0076682509626580485,0.0021645021645021,0.06561103131662219,-0.0122521390423742,0.0218032786885245,-0.0417582417582417,0.05650995160183542,0.5681360483329604,-0.5444839857651246,0.9461805555555558,raw,rsi_distance,fail_20p,fwd_next_session_open
1314,-0.0044644865102694605,-0.0010317479916412,0.04451856994798637,-0.0145985401459854,0.007905955527427599,-0.031677655369607156,0.020866032130799402,0.4558599695585997,-0.34375,0.4829999999999998,raw,rsi_distance,fail_2_5,fwd_next_session_open
2017,-0.0007159865200346247,-0.0003354794984751,0.06324387775259344,-0.0120636942675159,0.0069462310264986,-0.03061993883321478,0.023484173502759918,0.47942488844819037,-0.5412844036697247,1.995555555555556,raw,rsi_distance,fail_5_10,fwd_next_session_open
8329,0.00246407501592051,-0.0024048096192384,0.25867233465562783,-0.0107296137339055,0.005083179297597,-0.0277777777777778,0.018587601786183232,0.3884019690238924,-0.8125454545454546,14.341043190936984,raw,rsi_distance,passing_side,fwd_next_session_open
5446,0.0058934571759096215,-0.0014394525673003498,0.30852095990217154,-0.00953383168776095,0.006859678575139575,-0.0256673511293634,0.0222380611514469,0.4353654058024238,-0.8125454545454546,14.341043190936984,raw,sma_spread_distance,fail_0.25_1,fwd_next_session_open
4518,-0.001225866517180597,-0.001063829787234,0.10420845832239438,-0.0141666666666666,0.006588391488429775,-0.0411764705882353,0.0278372591006423,0.43204957945993805,-0.5080906148867314,3.4526962195355977,raw,sma_spread_distance,fail_0_0.25,fwd_next_session_open
3848,0.0025932818070554782,-0.0005918042110206,0.0476736104903041,-0.0099595022741551,0.0098258842742444,-0.024084984954964302,0.030711143695014587,0.4807692307692308,-0.4251968503937008,1.995555555555556,raw,sma_spread_distance,fail_1_5,fwd_next_session_open
1156,0.0012558088203213724,0.00082719791377415,0.021884289764480026,-0.00881668412631145,0.0106631299734747,-0.0185839535086601,0.02332458630921455,0.5181660899653979,-0.2297297297297298,0.0888324873096446,raw,sma_spread_distance,fail_5p,fwd_next_session_open
5664,0.00182590257999522,0.00046262324616199997,0.05903008179059772,-0.015392917289309374,0.013560511169951349,-0.0413325107958051,0.04234910544994902,0.522069209039548,-0.5483288166214996,0.9461805555555558,raw,sma_spread_distance,passing_side,fwd_next_session_open
771,-0.0022280630628803873,-0.0012106537530265,0.040006585059213874,-0.0085476329631794,0.00499905945915835,-0.0209205020920501,0.0131073937287277,0.42023346303501946,-0.3543689320388349,0.5198973042362003,dedup,rsi_distance,fail_0_2,fwd_30m
2851,0.0004556780804231818,0.0,0.029292748387839258,-0.00729008410003665,0.0076050772686675,-0.0223315669947011,0.0228965156053092,0.4875482286916871,-0.3259668508287293,0.3140869565217393,dedup,rsi_distance,fail_10_20,fwd_30m
3809,0.00404160684511506,0.001088139281828,0.04927259749836558,-0.0071556350626118,0.0120096076861489,-0.025799794836212878,0.03367557769349107,0.5494880546075085,-0.3670103092783505,0.88005,dedup,rsi_distance,fail_20p,fwd_30m
1104,-0.001372545870983255,-0.0012136380924337498,0.029939718321846293,-0.00889787444223985,0.004538904046852225,-0.025627679917165195,0.01742867552517055,0.41304347826086957,-0.1895261845386533,0.3875,dedup,rsi_distance,fail_2_5,fwd_30m
1655,-0.0006778613281841002,-0.0013173147855411,0.05215710510815594,-0.008836543466944149,0.004646006783842,-0.022760241432363378,0.015347379777871633,0.41027190332326285,-0.535681186283596,1.48,dedup,rsi_distance,fail_5_10,fwd_30m
7069,-0.003947373683001835,-0.0017938292274576,0.02824988539240909,-0.0080536912751678,0.0021231422505307,-0.021989766782404333,0.00984620888930344,0.34488612250671946,-0.4935304990757856,0.685907436297452,dedup,rsi_distance,passing_side,fwd_30m
4485,-0.003275703842022101,-0.0016244314489928,0.02795239481023917,-0.0081967213114755,0.0029925187032418,-0.022047389150044318,0.01223259081027776,0.3730211817168339,-0.4935304990757856,0.4000000000000001,dedup,sma_spread_distance,fail_0.25_1,fwd_30m
3556,-0.0013691025483445192,-0.00093458850931675,0.04824129852455934,-0.011010184698702625,0.0047867926084805,-0.03192719917171565,0.021134798072373,0.40382452193475815,-0.3543689320388349,1.013318073041307,dedup,sma_spread_distance,fail_0_0.25,fwd_30m
3464,-0.0007284820331833731,-0.0016807266030076,0.03640699244508168,-0.007416971039918174,0.00407646857471155,-0.01974048370335035,0.01390816735552962,0.39549653579676675,-0.3464566929133857,1.48,dedup,sma_spread_distance,fail_1_5,fwd_30m
1108,-0.002726616032928179,-0.00157128925063155,0.016429363062060297,-0.006670878470440175,0.003076923076923,-0.01376112488111353,0.010294429595689561,0.39620938628158847,-0.213963963963964,0.0386294416243655,dedup,sma_spread_distance,fail_5p,fwd_30m
4646,0.002053219775035012,0.00068463847045965,0.040132303643518,-0.006489688058626225,0.0102851799906497,-0.0230837546112856,0.02792700357827005,0.5299182092122255,-0.535681186283596,0.6041666666666667,dedup,sma_spread_distance,passing_side,fwd_30m
697,-0.0046038688543700666,-0.0015942606616181,0.03865066808675438,-0.0110536044362292,0.0057837837837837,-0.024172161767094337,0.014936917834445139,0.4246771879483501,-0.4358974358974358,0.3407960199004975,dedup,rsi_distance,fail_0_2,fwd_60m
2501,0.000643916308563291,0.0,0.03544885355383031,-0.008421686746988,0.0099085365853658,-0.0284090909090909,0.0268817204301075,0.48900439824070374,-0.5438121047877146,0.307602128235188,dedup,rsi_distance,fail_10_20,fwd_60m
3495,0.00693885934524807,0.0015873015873015,0.0959750452562962,-0.0080744546066398,0.01462439598090115,-0.0282491582491583,0.039485289759143186,0.5599427753934192,-0.3402061855670102,3.535,dedup,rsi_distance,fail_20p,fwd_60m
992,-0.0030853603232760944,-0.00182486525301425,0.04122794698888157,-0.01133188543026285,0.004823604583898725,-0.03011595253193211,0.016649117217664655,0.4102822580645161,-0.2413381123058542,0.5124999999999998,dedup,rsi_distance,fail_2_5,fwd_60m
1472,-0.0020705301117963097,-0.0018566363365633502,0.056906103227686786,-0.0110856170112687,0.0053271322771417245,-0.02653586075091597,0.016482008385027523,0.406929347826087,-0.5387488415199259,1.3644444444444446,dedup,rsi_distance,fail_5_10,fwd_60m
