n,mean,median,std,p25,p75,p10,p90,p_positive,min,max,view,horizon
17640,-0.0009494253172713069,-0.0009793839698329,0.037760395429551084,-0.008091469978372574,0.005241494227592,-0.02347281976963594,0.018809013305782992,0.42732426303854876,-0.535681186283596,1.48,raw,fwd_30m
15846,-0.0005785906142359102,-0.00107066503888895,0.05772790944760547,-0.009567134766691526,0.006344304397701174,-0.0269058295964125,0.021560357522599702,0.43556733560520006,-0.5438121047877146,3.535,raw,fwd_60m
11282,0.0037703252371242128,0.00026776390078945,0.08879137985285944,-0.010500200261623824,0.012043315524415475,-0.028674756818155026,0.033769675532949295,0.5076227619216451,-0.8975757575757576,3.5118019573978123,raw,fwd_240m
20792,0.002353124552883557,-0.0004591356884114,0.16946356663922,-0.01153740503178905,0.009177769341157225,-0.03181502281108824,0.030254251580673772,0.4719122739515198,-0.8125454545454546,14.341043190936984,raw,fwd_next_session_open
17322,-0.000939904449136711,-0.00095730454711405,0.03761803811715801,-0.007982833954562424,0.005206833321028625,-0.02322650296276133,0.018603736608309378,0.42795289227571875,-0.535681186283596,1.48,dedup,fwd_30m
15555,-0.0005260066077428588,-0.0010465724751438,0.05794582778952846,-0.00940054799856575,0.006324019786224501,-0.02664046057858362,0.02119237082586354,0.43625843780135004,-0.5438121047877146,3.535,dedup,fwd_60m
11081,0.0038248710991579784,0.000219002891473,0.089254550279707,-0.0104873534855028,0.0119250425894378,-0.0285459411239964,0.0333333333333333,0.5070841981770599,-0.8975757575757576,3.5118019573978123,dedup,fwd_240m
20455,0.0024169523819719033,-0.0004500450045005,0.1707023577854659,-0.011449126228828151,0.009096819955077301,-0.03149277907355716,0.02995105318154318,0.47210950867758494,-0.8125454545454546,14.341043190936984,dedup,fwd_next_session_open
