n,mean,median,std,p25,p75,p10,p90,p_positive,min,max,view,gate_group,horizon
207,-0.0060721274069743016,-0.0014029180695847,0.054590358217029226,-0.00858515740896915,0.0044212526307174,-0.0285714285714286,0.01580826546219648,0.4106280193236715,-0.4279252311581188,0.1841463414634148,raw,A_both_pass,fwd_30m
192,-0.008075249373314858,-0.00333619429080035,0.056182672505850316,-0.0134285806413473,0.00438216718633165,-0.03125923010614981,0.018360914763260756,0.4010416666666667,-0.4168385108317258,0.1864878048780489,raw,A_both_pass,fwd_60m
137,-0.01650969123494028,-0.007396449704142,0.06517836608729008,-0.0256622516556291,0.0026438885499287,-0.043210643015521,0.01849351117519827,0.31386861313868614,-0.4334685913213153,0.1656963725929244,raw,A_both_pass,fwd_240m
231,-0.010973970225985228,-0.0065088757396449,0.06773657380257006,-0.022720873946702802,0.0118270283793471,-0.0456521739130434,0.0366666666666666,0.38961038961038963,-0.5365750903567706,0.1540528437080162,raw,A_both_pass,fwd_next_session_open
6969,-0.004045670489962823,-0.0018443582071865,0.026993466679045106,-0.008130081300813,0.0020446552711212,-0.022234020447142833,0.009700343946414258,0.3410819342803846,-0.4935304990757856,0.685907436297452,raw,B_rsi_pass_sma_fail,fwd_30m
6261,-0.0037916115145866704,-0.0021525302922308,0.03651831571048091,-0.0095550974834665,0.0028530670470756,-0.0246815286624204,0.0109157064887812,0.35665229196613957,-0.511090573012939,0.7466666666666667,raw,B_rsi_pass_sma_fail,fwd_60m
4543,0.0005228535922310433,-0.0016165037333539,0.10024613054821034,-0.011084102289442701,0.0067066736234913,-0.026557855050450253,0.01976237231495346,0.42813119084305523,-0.8975757575757576,3.5118019573978123,raw,B_rsi_pass_sma_fail,fwd_240m
8094,0.00282532990444685,-0.00236836251977355,0.2621386358813059,-0.010500363699748175,0.004916680866617275,-0.02728491346202207,0.01803713745340041,0.38818878181368915,-0.8125454545454546,14.341043190936984,raw,B_rsi_pass_sma_fail,fwd_next_session_open
4528,0.0024783782133658734,0.0007925500608349,0.03951126680418317,-0.006413725962274051,0.0108243780046762,-0.023054626824086537,0.02899586981566825,0.5362190812720848,-0.535681186283596,0.6041666666666667,raw,C_rsi_fail_sma_pass,fwd_30m
4070,0.0029686019980246095,0.00096895752687925,0.04587132410090722,-0.0082101806239736,0.01260357203852535,-0.028691240449228828,0.03397038294984158,0.5412776412776413,-0.5438121047877146,0.5624652777777779,raw,C_rsi_fail_sma_pass,fwd_60m
