symbol,date,open,high,low,close,adjusted_close,volume,dividends,stock_splits,typical_price,traded_value,source
TSLA,2023-02-17,199.99000549316406,208.44000244140625,197.5,208.30999755859375,208.30999755859375,213738500,0.0,0.0,204.75,43762957875.0,yahoo
TSLA,2023-02-21,204.99000549316406,209.7100067138672,197.22000122070312,197.3699951171875,197.3699951171875,180018600,0.0,0.0,201.43333435058594,36261746843.12439,yahoo
TSLA,2023-02-22,197.92999267578125,201.99000549316406,191.77999877929688,200.86000061035156,200.86000061035156,191828500,0.0,0.0,198.21000162760416,38022327297.22086,yahoo
TSLA,2023-02-23,203.91000366210938,205.13999938964844,196.3300018310547,202.07000732421875,202.07000732421875,146360000,0.0,0.0,201.18000284830728,29444705216.878254,yahoo
TSLA,2023-02-24,196.3300018310547,197.6699981689453,192.8000030517578,196.8800048828125,196.8800048828125,142228100,0.0,0.0,195.78333536783853,27845891801.030476,yahoo
TSLA,2023-02-27,202.02999877929688,209.4199981689453,201.25999450683594,207.6300048828125,207.6300048828125,161028300,0.0,0.0,206.10333251953125,33188469259.954834,yahoo
TSLA,2023-02-28,210.58999633789062,211.22999572753906,203.75,205.7100067138672,205.7100067138672,153144900,0.0,0.0,206.89666748046875,31685169451.62964,yahoo
TSLA,2023-03-01,206.2100067138672,207.1999969482422,198.52000427246094,202.77000427246094,202.77000427246094,156852800,0.0,0.0,202.8300018310547,31814453711.206055,yahoo
TSLA,2023-03-02,186.74000549316406,193.75,186.00999450683594,190.89999389648438,190.89999389648438,181500700,0.0,0.0,190.2199961344401,34525062452.39817,yahoo
TSLA,2023-03-03,194.8000030517578,200.47999572753906,192.8800048828125,197.7899932861328,197.7899932861328,154193300,0.0,0.0,197.04999796549478,30383789451.292927,yahoo
TSLA,2023-03-06,198.5399932861328,198.60000610351562,192.3000030517578,193.80999755859375,193.80999755859375,128100100,0.0,0.0,194.90333557128906,24967136777.015686,yahoo
TSLA,2023-03-07,191.3800048828125,194.1999969482422,186.10000610351562,187.7100067138672,187.7100067138672,148125800,0.0,0.0,189.336669921875,28045645701.51367,yahoo
TSLA,2023-03-08,185.0399932861328,186.5,180.0,182.0,182.0,151897800,0.0,0.0,182.83333333333334,27771981100.0,yahoo
TSLA,2023-03-09,180.25,185.17999267578125,172.50999450683594,172.9199981689453,172.9199981689453,170023800,0.0,0.0,176.8699951171875,30072108675.805664,yahoo
TSLA,2023-03-10,175.1300048828125,178.2899932861328,168.44000244140625,173.44000244140625,173.44000244140625,191488900,0.0,0.0,173.38999938964844,33202260254.12445,yahoo
TSLA,2023-03-13,167.4600067138672,177.35000610351562,163.91000366210938,174.47999572753906,174.47999572753906,167790300,0.0,0.0,171.91333516438803,28845390081.233215,yahoo
TSLA,2023-03-14,177.30999755859375,183.8000030517578,177.13999938964844,183.25999450683594,183.25999450683594,143717900,0.0,0.0,181.3999989827474,26070426913.802593,yahoo
TSLA,2023-03-15,180.8000030517578,182.33999633789062,176.02999877929688,180.4499969482422,180.4499969482422,145995600,0.0,0.0,179.6066640218099,26221782677.86255,yahoo
TSLA,2023-03-16,180.3699951171875,185.80999755859375,178.83999633789062,184.1300048828125,184.1300048828125,121136800,0.0,0.0,182.92666625976562,22159150985.375977,yahoo
TSLA,2023-03-17,184.52000427246094,186.22000122070312,177.3300018310547,180.1300048828125,180.1300048828125,133197100,0.0,0.0,181.22666931152344,24138866794.95392,yahoo
TSLA,2023-03-20,178.0800018310547,186.44000244140625,176.35000610351562,183.25,183.25,129684400,0.0,0.0,182.01333618164062,23604290294.714355,yahoo
TSLA,2023-03-21,188.27999877929688,198.0,188.0399932861328,197.5800018310547,197.5800018310547,153391400,0.0,0.0,194.53999837239584,29840762706.33952,yahoo
TSLA,2023-03-22,199.3000030517578,200.66000366210938,190.9499969482422,191.14999389648438,191.14999389648438,150376400,0.0,0.0,194.25333150227866,29211116679.319256,yahoo
TSLA,2023-03-23,195.25999450683594,199.30999755859375,188.64999389648438,192.22000122070312,192.22000122070312,144193900,0.0,0.0,193.3933308919271,27886138615.297447,yahoo
TSLA,2023-03-24,191.64999389648438,192.36000061035156,187.14999389648438,190.41000366210938,190.41000366210938,116312400,0.0,0.0,189.97333272298178,22096254265.008545,yahoo
