symbol,date,open,high,low,close,adjusted_close,volume,dividends,stock_splits,typical_price,traded_value,source
GOOG,2023-02-17,95.06999969482422,95.75,93.44999694824219,94.58999633789062,93.88582611083984,31095100,0.0,0.0,94.59666442871094,2941492740.0772095,yahoo
GOOG,2023-02-21,93.23999786376953,93.41500091552734,92.0,92.05000305175781,91.36475372314453,28367200,0.0,0.0,92.48833465576172,2623635086.846924,yahoo
GOOG,2023-02-22,91.93399810791016,92.36000061035156,90.87000274658203,91.80000305175781,91.11661529541016,29891100,0.0,0.0,91.67666880289714,2740316474.8542786,yahoo
GOOG,2023-02-23,92.12999725341797,92.12999725341797,90.01000213623047,91.06999969482422,90.39204406738281,32423700,0.0,0.0,91.06999969482422,2952826349.105072,yahoo
GOOG,2023-02-24,89.62999725341797,90.12999725341797,88.86000061035156,89.3499984741211,88.68485260009766,31295600,0.0,0.0,89.44666544596355,2799287063.130697,yahoo
GOOG,2023-02-27,90.08999633789062,90.44999694824219,89.61000061035156,90.0999984741211,89.42926788330078,22724300,0.0,0.0,90.05333201090495,2046398932.6154075,yahoo
GOOG,2023-02-28,89.54000091552734,91.44999694824219,89.5199966430664,90.30000305175781,89.6277847290039,30546900,0.0,0.0,90.42333221435547,2762152486.818695,yahoo
GOOG,2023-03-01,90.16000366210938,91.19999694824219,89.8499984741211,90.51000213623047,89.83621978759766,26323900,0.0,0.0,90.51999918619792,2382839406.5775557,yahoo
GOOG,2023-03-02,89.86000061035156,92.4800033569336,89.7699966430664,92.30999755859375,91.62281799316406,23328600,0.0,0.0,91.51999918619792,2135033453.0151367,yahoo
GOOG,2023-03-03,92.73999786376953,94.11000061035156,92.66000366210938,94.0199966430664,93.32007598876953,30242500,0.0,0.0,93.59666697184245,2830597200.8959455,yahoo
GOOG,2023-03-06,94.36000061035156,96.30000305175781,94.30000305175781,95.58000183105469,94.86847686767578,28288200,0.0,0.0,95.39333597819011,2698505766.8182373,yahoo
GOOG,2023-03-07,95.41999816894531,96.08999633789062,93.84400177001953,94.16999816894531,93.4689712524414,24101500,0.0,0.0,94.70133209228516,2282444155.4222107,yahoo
GOOG,2023-03-08,94.40499877929688,96.23999786376953,94.40499877929688,94.6500015258789,93.94540405273438,25395200,0.0,0.0,95.09833272298177,2415041179.1666665,yahoo
GOOG,2023-03-09,94.48999786376953,95.91999816894531,92.3550033569336,92.66000366210938,91.97021484375,24438900,0.0,0.0,93.64500172932942,2288580832.762909,yahoo
GOOG,2023-03-10,92.5,93.18000030517578,90.80000305175781,91.01000213623047,90.33248901367188,32850100,0.0,0.0,91.66333516438802,3011149726.4836626,yahoo
GOOG,2023-03-13,90.56500244140625,93.08000183105469,89.94000244140625,91.66000366210938,90.9776611328125,31508600,0.0,0.0,91.56000264485677,2884927499.335734,yahoo
GOOG,2023-03-14,93.06999969482422,94.83000183105469,92.77999877929688,94.25,93.54837799072266,32303900,0.0,0.0,93.95333353678386,3035059091.238912,yahoo
GOOG,2023-03-15,93.54000091552734,97.25,93.04000091552734,96.55000305175781,95.83124542236328,38367300,0.0,0.0,95.61333465576172,3668425494.7380066,yahoo
GOOG,2023-03-16,96.56999969482422,101.97000122070312,95.87000274658203,101.06999969482422,100.31761169433594,54499500,0.0,0.0,99.6366678873698,5430148581.52771,yahoo
GOOG,2023-03-17,100.83999633789062,103.48999786376953,100.75,102.45999908447266,101.6972427368164,76140300,0.0,0.0,102.23333231608073,7784076592.546082,yahoo
GOOG,2023-03-20,101.05999755859375,102.58000183105469,100.79000091552734,101.93000030517578,101.17119598388672,26033900,0.0,0.0,101.76666768391927,2649383249.8163857,yahoo
GOOG,2023-03-21,101.9800033569336,105.95999908447266,101.86000061035156,105.83999633789062,105.05208587646484,33122800,0.0,0.0,104.55333201090495,3463099105.5308027,yahoo
GOOG,2023-03-22,105.13999938964844,107.51000213623047,104.20999908447266,104.22000122070312,103.44416046142578,32336900,0.0,0.0,105.31333414713542,3405506754.9825034,yahoo
GOOG,2023-03-23,105.88999938964844,107.10099792480469,105.41000366210938,106.26000213623047,105.4689712524414,31385800,0.0,0.0,106.25700124104817,3334960989.5512896,yahoo
GOOG,2023-03-24,105.73999786376953,106.16000366210938,104.73999786376953,106.05999755859375,105.27044677734375,25236200,0.0,0.0,105.65333302815755,2666288642.9651895,yahoo
GOOG,2023-03-27,105.31999969482422,105.4000015258789,102.62999725341797,103.05999755859375,102.29278564453125,25393400,0.0,0.0,103.69666544596355,2633210904.3355308,yahoo
GOOG,2023-03-28,103.0,103.0,100.27999877929688,101.36000061035156,100.6054458618164,24913500,0.0,0.0,101.54666646321614,2529882874.9313354,yahoo
GOOG,2023-03-29,102.72000122070312,102.81999969482422,101.02999877929688,101.9000015258789,101.14142608642578,26148300,0.0,0.0,101.91666666666667,2664947575.0,yahoo
GOOG,2023-03-30,101.44000244140625,101.61000061035156,100.29000091552734,101.31999969482422,100.56573486328125,25009800,0.0,0.0,101.07333374023438,2527823862.1765137,yahoo
GOOG,2023-03-31,101.70999908447266,104.19000244140625,101.44000244140625,104.0,103.22578430175781,28108000,0.0,0.0,103.21000162760417,2901026725.748698,yahoo
GOOG,2023-04-03,102.66999816894531,104.94999694824219,102.37999725341797,104.91000366210938,104.12902069091797,20719900,0.0,0.0,104.07999928792317,2156527177.245839,yahoo
GOOG,2023-04-04,104.83999633789062,106.0999984741211,104.5999984741211,105.12000274658203,104.33745574951172,20377200,0.0,0.0,105.27333323160808,2145175765.927124,yahoo
GOOG,2023-04-05,106.12000274658203,106.54000091552734,104.10199737548828,104.94999694824219,104.1687240600586,21864200,0.0,0.0,105.19733174641927,2300055500.77006,yahoo
GOOG,2023-04-06,105.7699966430664,109.62999725341797,104.81500244140625,108.9000015258789,108.08930969238281,34684200,0.0,0.0,107.7816670735677,3738320897.113037,yahoo
