symbol,date,open,high,low,close,adjusted_close,volume,dividends,stock_splits,typical_price,traded_value,source
MSFT,2023-02-17,259.3900146484375,260.0899963378906,256.0,258.05999755859375,252.66542053222656,30000100,0.0,0.0,258.0499979654948,7741525743.964641,yahoo
MSFT,2023-02-21,254.47999572753906,255.49000549316406,251.58999633789062,252.6699981689453,247.38807678222656,28397400,0.0,0.0,253.25,7191641550.0,yahoo
MSFT,2023-02-22,254.08999633789062,254.33999633789062,250.33999633789062,251.50999450683594,246.25230407714844,22491100,0.0,0.0,252.0633290608724,5669181540.240988,yahoo
MSFT,2023-02-23,255.55999755859375,256.8399963378906,250.47999572753906,254.77000427246094,249.4441680908203,29219100,0.0,0.0,254.02999877929688,7422527937.332153,yahoo
MSFT,2023-02-24,249.9600067138672,251.0,248.10000610351562,249.22000122070312,244.01019287109375,24990900,0.0,0.0,249.44000244140625,6233730157.012939,yahoo
MSFT,2023-02-27,252.4600067138672,252.82000732421875,249.38999938964844,250.16000366210938,244.93055725097656,21190000,0.0,0.0,250.79000345865884,5314240173.2889805,yahoo
MSFT,2023-02-28,249.07000732421875,251.49000549316406,248.72999572753906,249.4199981689453,244.20599365234375,22491000,0.0,0.0,249.87999979654947,5620051075.424194,yahoo
MSFT,2023-03-01,250.75999450683594,250.92999267578125,245.7899932861328,246.27000427246094,241.1218719482422,27565300,0.0,0.0,247.663330078125,6826913992.602539,yahoo
MSFT,2023-03-02,246.5500030517578,251.39999389648438,245.61000061035156,251.11000061035156,245.86068725585938,24808200,0.0,0.0,249.37333170572916,6186503487.62207,yahoo
MSFT,2023-03-03,252.19000244140625,255.6199951171875,251.38999938964844,255.2899932861328,249.9532928466797,30760100,0.0,0.0,254.0999959309896,7816141284.836833,yahoo
MSFT,2023-03-06,256.42999267578125,260.1199951171875,255.97999572753906,256.8699951171875,251.50027465820312,24109800,0.0,0.0,257.6566619873047,6212050589.181519,yahoo
MSFT,2023-03-07,256.29998779296875,257.69000244140625,253.38999938964844,254.14999389648438,248.8371124267578,21473200,0.0,0.0,255.07666524251303,5477312248.085531,yahoo
MSFT,2023-03-08,254.0399932861328,254.5399932861328,250.80999755859375,253.6999969482422,248.3965301513672,17340200,0.0,0.0,253.01666259765625,4387359532.775879,yahoo
MSFT,2023-03-09,255.82000732421875,259.55999755859375,251.5800018310547,252.32000732421875,247.04541015625,26653400,0.0,0.0,254.4866689046224,6782934980.982463,yahoo
MSFT,2023-03-10,251.0800018310547,252.7899932861328,247.60000610351562,248.58999633789062,243.3933563232422,28333900,0.0,0.0,249.65999857584634,7073841433.648172,yahoo
MSFT,2023-03-13,247.39999389648438,257.9100036621094,245.72999572753906,253.9199981689453,248.6119384765625,33339700,0.0,0.0,252.5199991861979,8418941016.868082,yahoo
MSFT,2023-03-14,256.75,261.07000732421875,255.86000061035156,260.7900085449219,255.33834838867188,33620300,0.0,0.0,259.24000549316406,8715726756.681824,yahoo
MSFT,2023-03-15,259.9800109863281,266.4800109863281,259.2099914550781,265.44000244140625,259.89117431640625,46028000,0.0,0.0,263.7100016276042,12138043954.915365,yahoo
MSFT,2023-03-16,265.2099914550781,276.55999755859375,263.2799987792969,276.20001220703125,270.4262390136719,54768800,0.0,0.0,272.0133361816406,14897844006.66504,yahoo
MSFT,2023-03-17,278.260009765625,283.3299865722656,276.32000732421875,279.42999267578125,273.5886535644531,69527400,0.0,0.0,279.6933288574219,19446349952.801514,yahoo
MSFT,2023-03-20,276.9800109863281,277.4800109863281,269.8500061035156,272.2300109863281,266.5391540527344,43466600,0.0,0.0,273.1866760253906,11874495972.125244,yahoo
MSFT,2023-03-21,274.8800048828125,275.0,269.5199890136719,273.7799987792969,268.0567626953125,34558700,0.0,0.0,272.76666259765625,9426461262.713623,yahoo
MSFT,2023-03-22,273.3999938964844,281.0400085449219,272.17999267578125,272.2900085449219,266.5979309082031,34873300,0.0,0.0,275.1700032552083,9596086074.519855,yahoo
MSFT,2023-03-23,277.94000244140625,281.05999755859375,275.20001220703125,277.6600036621094,271.85565185546875,36610900,0.0,0.0,277.9733378092448,10176854073.200481,yahoo
MSFT,2023-03-24,277.239990234375,280.6300048828125,275.2799987792969,280.57000732421875,274.7048645019531,28172000,0.0,0.0,278.82667032877606,7855104956.502279,yahoo
MSFT,2023-03-27,280.5,281.4599914550781,275.5199890136719,276.3800048828125,270.6024475097656,26840200,0.0,0.0,277.7866617838542,7455849559.611003,yahoo
MSFT,2023-03-28,275.7900085449219,276.1400146484375,272.04998779296875,275.2300109863281,269.4764709472656,21878600,0.0,0.0,274.4733378092448,6005092368.593344,yahoo
MSFT,2023-03-29,278.9599914550781,281.1400146484375,278.4100036621094,280.510009765625,274.6461181640625,25087000,0.0,0.0,280.02000935872394,7024861974.782308,yahoo
MSFT,2023-03-30,284.2300109863281,284.4599914550781,281.4800109863281,284.04998779296875,278.1121520996094,25053400,0.0,0.0,283.3299967447917,7098379740.445964,yahoo
MSFT,2023-03-31,283.7300109863281,289.2699890136719,283.0,288.29998779296875,282.2732849121094,32766000,0.0,0.0,286.8566589355469,9399145286.682129,yahoo
MSFT,2023-04-03,286.5199890136719,288.2699890136719,283.95001220703125,287.2300109863281,281.22564697265625,24883300,0.0,0.0,286.48333740234375,7128650829.58374,yahoo
MSFT,2023-04-04,287.2300109863281,290.45001220703125,285.6700134277344,287.17999267578125,281.1766662597656,25824300,0.0,0.0,287.7666727701823,7431372887.6190195,yahoo
MSFT,2023-04-05,285.8500061035156,287.1499938964844,282.9200134277344,284.3399963378906,278.39599609375,22064800,0.0,0.0,284.80333455403644,6284128616.267903,yahoo
MSFT,2023-04-06,283.2099914550781,292.0799865722656,282.0299987792969,291.6000061035156,285.5042419433594,29770300,0.0,0.0,288.5699971516927,8590815386.205036,yahoo
MSFT,2023-04-10,289.2099914550781,289.6000061035156,284.7099914550781,289.3900146484375,283.34051513671875,23103000,0.0,0.0,287.90000406901044,6651353794.006348,yahoo
MSFT,2023-04-11,285.75,285.9800109863281,281.6400146484375,282.8299865722656,276.9176025390625,27276600,0.0,0.0,283.48333740234375,7732461600.98877,yahoo
MSFT,2023-04-12,284.7900085449219,287.010009765625,281.9599914550781,283.489990234375,277.5637512207031,27403400,0.0,0.0,284.15333048502606,7786767376.613363,yahoo
MSFT,2023-04-13,283.5899963378906,289.8999938964844,283.1700134277344,289.8399963378906,283.7810974121094,24222700,0.0,0.0,287.6366678873698,6967336715.235393,yahoo
MSFT,2023-04-14,287.0,288.4800109863281,283.69000244140625,286.1400146484375,280.15838623046875,20987900,0.0,0.0,286.1033426920573,6004708346.08663,yahoo
MSFT,2023-04-17,289.92999267578125,291.6000061035156,286.1600036621094,288.79998779296875,282.76275634765625,23836200,0.0,0.0,288.85333251953125,6885165804.602051,yahoo
MSFT,2023-04-18,291.57000732421875,291.760009765625,287.010009765625,288.3699951171875,282.3417663574219,20161800,0.0,0.0,289.0466715494792,5827701182.446289,yahoo
MSFT,2023-04-19,285.989990234375,289.04998779296875,284.5400085449219,288.45001220703125,282.4200744628906,17150300,0.0,0.0,287.34666951497394,4928081586.182657,yahoo
MSFT,2023-04-20,285.25,289.0299987792969,285.0799865722656,286.1099853515625,280.12896728515625,23244400,0.0,0.0,286.739990234375,6665099029.003906,yahoo
MSFT,2023-04-21,285.010009765625,286.2699890136719,283.05999755859375,285.760009765625,279.786376953125,21676400,0.0,0.0,285.0299987792969,6178424265.539551,yahoo
MSFT,2023-04-24,282.0899963378906,284.95001220703125,278.7200012207031,281.7699890136719,275.8797302246094,26611000,0.0,0.0,281.81333414713544,7499334634.989421,yahoo
MSFT,2023-04-25,279.510009765625,281.6000061035156,275.3699951171875,275.4200134277344,269.66253662109375,45772200,0.0,0.0,277.4633382161458,12700107409.49707,yahoo
MSFT,2023-04-26,296.70001220703125,299.57000732421875,292.7300109863281,295.3699951171875,289.1955261230469,64599200,0.0,0.0,295.89000447591144,19114257577.140297,yahoo
MSFT,2023-04-27,295.9700012207031,305.20001220703125,295.25,304.8299865722656,298.4577331542969,46462600,0.0,0.0,301.75999959309894,14020554157.094318,yahoo
MSFT,2023-04-28,304.010009765625,308.92999267578125,303.30999755859375,307.260009765625,300.8369140625,36469600,0.0,0.0,306.5,11177932400.0,yahoo
MSFT,2023-05-01,306.9700012207031,308.6000061035156,305.1499938964844,305.55999755859375,299.1724548339844,21294100,0.0,0.0,306.43666585286456,6525293006.337483,yahoo
MSFT,2023-05-02,307.760009765625,309.17999267578125,303.9100036621094,305.4100036621094,299.0255432128906,26404400,0.0,0.0,306.1666666666667,8084147133.333334,yahoo
MSFT,2023-05-03,306.6199951171875,308.6099853515625,304.0899963378906,304.3999938964844,298.0366516113281,22360800,0.0,0.0,305.6999918619792,6835696378.027344,yahoo
MSFT,2023-05-04,306.239990234375,307.760009765625,303.3999938964844,305.4100036621094,299.0255432128906,22519900,0.0,0.0,305.52333577473956,6880354969.313558,yahoo
MSFT,2023-05-05,305.7200012207031,311.9700012207031,304.2699890136719,310.6499938964844,304.1559753417969,28197100,0.0,0.0,308.9633280436198,8711869857.178753,yahoo
MSFT,2023-05-08,310.1300048828125,310.20001220703125,306.0899963378906,308.6499938964844,302.19781494140625,21318600,0.0,0.0,308.31333414713544,6572808645.349121,yahoo
MSFT,2023-05-09,308.0,310.0400085449219,306.30999755859375,307.0,300.58233642578125,21340800,0.0,0.0,307.78333536783856,6568342603.417969,yahoo
MSFT,2023-05-10,308.6199951171875,313.0,307.6700134277344,312.30999755859375,305.7812805175781,30078000,0.0,0.0,310.9933369954427,9354057590.148926,yahoo
MSFT,2023-05-11,310.1000061035156,311.1199951171875,306.260009765625,310.1099853515625,303.62725830078125,31680200,0.0,0.0,309.163330078125,9794356129.541016,yahoo
MSFT,2023-05-12,310.54998779296875,310.6499938964844,306.6000061035156,308.9700012207031,302.5111389160156,19774700,0.0,0.0,308.74000040690106,6105240886.046347,yahoo
MSFT,2023-05-15,309.1000061035156,309.8999938964844,307.5899963378906,309.4599914550781,302.9909362792969,16336500,0.0,0.0,308.9833272298177,5047706125.289917,yahoo
MSFT,2023-05-16,309.8299865722656,313.7099914550781,309.8299865722656,311.739990234375,305.2232360839844,26730300,0.0,0.0,311.75998942057294,8333438045.208741,yahoo
MSFT,2023-05-17,312.2900085449219,314.42999267578125,310.739990234375,314.0,308.1081237792969,24315000,0.68,0.0,313.05666097005206,7611972711.486816,yahoo
MSFT,2023-05-18,314.5299987792969,319.0400085449219,313.7200012207031,318.5199890136719,312.54327392578125,27276000,0.0,0.0,317.0933329264323,8649037748.901367,yahoo
MSFT,2023-05-19,316.739990234375,318.75,316.3699951171875,318.3399963378906,312.3666687011719,27546700,0.0,0.0,317.8199971516927,8754892115.538532,yahoo
MSFT,2023-05-22,318.6000061035156,322.5899963378906,318.010009765625,321.17999267578125,315.1533508300781,24115700,0.0,0.0,320.5933329264323,7731332638.853964,yahoo
MSFT,2023-05-23,320.0299987792969,322.7200012207031,315.25,315.260009765625,309.344482421875,30797200,0.0,0.0,317.7433369954427,9785605098.116047,yahoo
MSFT,2023-05-24,314.7300109863281,316.5,312.6099853515625,313.8500061035156,307.96087646484375,23384900,0.0,0.0,314.3199971516927,7350341701.392618,yahoo
MSFT,2023-05-25,323.239990234375,326.8999938964844,320.0,325.9200134277344,319.804443359375,43301700,0.0,0.0,324.27333577473956,14041586703.717041,yahoo
MSFT,2023-05-26,324.0199890136719,333.3999938964844,323.8800048828125,332.8900146484375,326.6436767578125,36630600,0.0,0.0,330.0566711425781,12090173897.955322,yahoo
MSFT,2023-05-30,335.2300109863281,335.739990234375,330.5199890136719,331.2099914550781,324.9950866699219,29503100,0.0,0.0,332.489990234375,9809485430.88379,yahoo
MSFT,2023-05-31,332.2900085449219,335.94000244140625,327.3299865722656,328.3900146484375,322.2281188964844,45950600,0.0,0.0,330.55333455403644,15189124054.758707,yahoo
MSFT,2023-06-01,325.92999267578125,333.5299987792969,324.7200012207031,332.5799865722656,326.3393859863281,26773900,0.0,0.0,330.2766621907552,8842794325.82906,yahoo
MSFT,2023-06-02,334.25,337.5,332.54998779296875,335.3999938964844,329.1065673828125,25873800,0.0,0.0,335.1499938964844,8671603912.078857,yahoo
MSFT,2023-06-05,335.2200012207031,338.55999755859375,334.6600036621094,335.94000244140625,329.6363525390625,21307100,0.0,0.0,336.3866678873698,7167424371.342978,yahoo
MSFT,2023-06-06,335.3299865722656,335.3699951171875,332.1700134277344,333.67999267578125,327.4188232421875,20396200,0.0,0.0,333.74000040690106,6807027796.299235,yahoo
MSFT,2023-06-07,331.6499938964844,334.489990234375,322.5,323.3800048828125,317.31207275390625,40717100,0.0,0.0,326.7899983723958,13305941042.728678,yahoo
MSFT,2023-06-08,323.94000244140625,326.6400146484375,323.3500061035156,325.260009765625,319.15679931640625,23277700,0.0,0.0,325.0833435058594,7567192545.126343,yahoo
MSFT,2023-06-09,324.989990234375,329.989990234375,324.4100036621094,326.7900085449219,320.6580810546875,22529000,0.0,0.0,327.06333414713544,7368409855.000814,yahoo
MSFT,2023-06-12,328.5799865722656,332.1000061035156,325.1600036621094,331.8500061035156,325.6231689453125,24260300,0.0,0.0,329.7033386230469,7998701905.996704,yahoo
MSFT,2023-06-13,334.4700012207031,336.9800109863281,330.3900146484375,334.2900085449219,328.0173645019531,22951300,0.0,0.0,333.8866780598958,7663133314.156087,yahoo
MSFT,2023-06-14,334.3399963378906,339.0400085449219,332.80999755859375,337.3399963378906,331.0101318359375,26003800,0.0,0.0,336.39666748046875,8747591661.828613,yahoo
